iter	Passed	Remaining
1475	151638	53833
1476	151738	53730
1477	151836	53625
1478	151950	53526
1479	152051	53423
1480	152150	53319
1481	152251	53216
1482	152352	53112
1483	152452	53009
1484	152553	52905
1485	152664	52805
1486	152767	52703
1487	152882	52604
1488	152987	52502
1489	153088	52399
1490	153183	52294
1491	153280	52189
1492	153382	52086
1493	153485	51983
1494	153585	51879
1495	153685	51776
1496	153786	51673
1497	153899	51573
1498	154002	51471
1499	154104	51368
1500	154205	51264
1501	154308	51162
1502	154412	51059
1503	154510	50955
1504	154623	50856
1505	154725	50753
1506	154828	50650
1507	154929	50547
1508	155032	50444
1509	155132	50341
1510	155233	50237
1511	155336	50134
1512	155436	50031
1513	155537	49928
1514	155649	49828
1515	155750	49725
1516	155850	49621
1517	155949	49517
1518	156049	49414
1519	156160	49313
1520	156262	49210
1521	156362	49107
1522	156463	49004
1523	156562	48900
1524	156660	48796
1525	156762	48692
1526	156863	48589
1527	156966	48487
1528	157067	48383
1529	157167	48280
1530	157269	48177
1531	157383	48077
1532	157483	47974
1533	157586	47871
1534	157685	47767
1535	157786	47664
1536	157886	47561
1537	157986	47457
1538	158088	47354
1539	158182	47249
1540	158281	47145
1541	158383	47042
1542	158486	46939
1543	158583	46835
1544	158683	46732
1545	158783	46628
1546	158895	46528
1547	158990	46423
1548	159092	46320
1549	159192	46217
1550	159293	46113
1551	159395	46011
1552	159497	45908
1553	159598	45804
1554	159699	45701
1555	159812	45601
1556	159904	45496
1557	160001	45391
1558	160103	45289
1559	160202	45185
1560	160305	45082
1561	160409	44980
1562	160509	44876
1563	160610	44773
1564	160710	44670
1565	160809	44566
1566	160911	44463
1567	161013	44360
1568	161111	44257
1569	161214	44154
1570	161314	44050
1571	161415	43947
1572	161528	43847
1573	161630	43744
1574	161740	43644
1575	161841	43541
1576	161932	43435
1577	162032	43331
1578	162135	43229
1579	162234	43125
1580	162335	43022
1581	162436	42919
1582	162537	42816
1583	162636	42712
1584	162738	42609
1585	162837	42506
1586	162936	42402
1587	163039	42299
1588	163138	42196
1589	163233	42091
1590	163335	41988
1591	163436	41885
1592	163538	41782
1593	163639	41679
1594	163739	41576
1595	163837	41472
1596	163949	41372
1597	164051	41269
1598	164150	41166
1599	164249	41062
1600	164350	40959
1601	164451	40856
1602	164552	40753
1603	164661	40652
1604	164772	40551
1605	164873	40448
1606	164973	40345
1607	165073	40241
1608	165177	40139
1609	165274	40035
1610	165373	39932
1611	165475	39829
1612	165577	39726
1613	165690	39626
1614	165789	39522
1615	165902	39422
1616	166015	39322
1617	166116	39219
1618	166217	39115
1619	166317	39012
1620	166418	38909
1621	166531	38809
1622	166632	38706
1623	166731	38602
1624	166828	38498
1625	166931	38396
1626	167031	38293
1627	167132	38189
1628	167230	38086
1629	167341	37985
1630	167439	37881
1631	167548	37780
1632	167643	37676
1633	167742	37572
1634	167839	37468
1635	167947	37367
1636	168038	37261
1637	168183	37168
1638	168280	37064
1639	168394	36964
1640	168495	36861
1641	168597	36758
1642	168694	36654
1643	168793	36551
1644	168896	36448
1645	169015	36349
1646	169113	36245
1647	169216	36143
1648	169316	36040
1649	169465	35947
1650	169582	35847
1651	169696	35747
1652	169795	35643
1653	169897	35540
1654	169995	35437
1655	170092	35333
1656	170207	35233
1657	170319	35132
